          classes  precision    recall  f1-score   support

      		0       0.74      0.92      0.82        50
       		1       0.60      0.60      0.60        50
 		2       0.71      0.48      0.57        50
    		3       0.78      0.92      0.84        50
      		4       0.91      0.82      0.86        50
       		5       0.98      1.00      0.99        50
       		6       0.98      1.00      0.99        50
      		7       1.00      1.00      1.00        50
      		8       0.58      0.60      0.59        50
  		9       0.78      0.42      0.55        50
      	       10       0.76      1.00      0.86        50
	       11       0.92      0.98      0.95        50
	       12       0.98      1.00      0.99        50
  	       13       1.00      0.96      0.98        50
     	       14       0.66      0.82      0.73        50
     	       15       0.80      0.86      0.83        50
    	       16       0.88      0.98      0.92        50
  	       17       0.68      0.64      0.66        50
     	       18       0.83      0.70      0.76        50
      	       19       0.86      0.60      0.71        50
       	       20       0.70      0.76      0.73        50
     	       21       0.97      0.74      0.84        50
               22       0.96      1.00      0.98        50
    	       23       0.94      0.92      0.93        50
      	       24       0.92      0.92      0.92        50
      	       25       0.75      0.92      0.83        50
     	       26       0.90      0.92      0.91        50
      	       27       0.57      0.50      0.53        50
     	       28       0.71      0.94      0.81        50
	       29       0.72      0.58      0.64        50

         accuracy                           0.82      1500
        macro avg       0.82      0.82      0.81      1500
     weighted avg       0.82      0.82      0.81      1500
